objectId,lane,nr_frames,frame_start,frame_end,speed_mean,can_change_time,time,action,slowed,can_change
139759854719568_1624205215.7844837,2,25,54,78,19.782511323403984,1.6679785134838852,1.6012593729445297,noMoveOver,,0.0
139759854692816_1624205215.7845583,2,42,54,95,18.565524513343245,2.802203902652927,2.735484762113572,noMoveOver,,0.0
139759854692688_1624205215.7846317,2,62,54,115,21.852434513479107,4.136586713440035,4.06986757290068,noMoveOver,,1.0
139759854744592_1624205215.784104,1,67,54,120,29.622218580833273,4.470182416136812,4.403463275597457,moveOver,,
139759854721808_1624205215.7842548,4,97,54,150,31.658567645180653,0.0,6.405037491778119,noNeed,,
139759854280336_1624205217.99729,1,26,152,177,40.009956461556754,1.7346976540232406,1.6679785134838852,moveOver,,
139759854280400_1624205217.0146544,1,141,115,256,36.945286481101256,9.407398816049112,9.407398816049112,moveOver,,
139759981000336_1624205219.460013,4,78,199,276,30.212948875268903,0.0,5.137373821530367,noNeed,,
139759854636880_1624205216.7676213,4,185,104,292,39.5269303721874,0.0,12.543198421398817,noNeed,,
139759854550288_1624205217.3079982,4,174,128,307,37.723043964078464,0.0,11.942726156544618,noNeed,,
139759854576976_1624205216.1476445,0,216,77,314,32.916978697178195,14.411334356500769,15.612278886209165,noMoveOver,True,1.0
139759854607888_1624205219.3276424,1,134,183,316,37.238257499303515,8.940364832273625,8.87364569173427,moveOver,,
139759981002704_1624205219.8933895,4,141,210,350,30.107851008854354,0.0,9.340679675509756,noNeed,,
139759854667792_1624205218.410429,0,189,166,356,35.648178095889214,12.609917561938172,12.476479280859461,noMoveOver,True,1.0
139759981138896_1624205222.7506962,4,20,345,364,23.29328226045094,0.0,1.2676636702477526,noNeed,,
139759981109968_1624205218.626931,4,203,170,376,33.23482348614869,0.0,13.744142951107214,noNeed,,
139759854579216_1624205219.3275986,4,214,183,396,34.06439271433927,0.0,14.211176934882701,noNeed,,
